timestamp,ridge_mode,block,vineyard,category,rows_det,rows_gt,recall,angle,angle_gt,angle_err,spacing,spacing_gt,spacing_err,confidence,flags,time_s
2026-03-29 23:59:13,luminance,Block A,Brooklands,CLEAN_NZ,13,26,0.5,86.5,90.0,3.5,2.84,2.5,13.8,0.69,"IRREG,MISS,WEAK",9.6
2026-03-29 23:59:13,luminance,Block B,Brooklands,CLEAN_NZ,27,82,0.3293,86.6,90.0,3.4,1.75,2.5,29.8,0.63,"IRREG,MISS,WEAK",21.3
2026-03-29 23:59:13,luminance,Block C,Brooklands,CLEAN_NZ,85,110,0.7727,86.5,86.5,0.0,2.58,2.5,3.1,0.76,"IRREG,MISS,WEAK",28.9
2026-03-29 23:59:13,luminance,Block D,Brooklands,CLEAN_NZ,102,111,0.9189,86.6,86.0,0.5,2.5,2.5,0.2,0.76,WEAK,17.7
2026-03-29 23:59:13,luminance,Block D2,Brooklands,CLEAN_NZ,107,110,0.9727,86.7,85.9,0.8,2.52,2.5,0.6,0.84,"MISS,WEAK",9.1
2026-03-29 23:59:13,luminance,North Block,Opawa,LARGE_NZ,243,251,0.9681,86.4,86.4,0.0,2.79,2.81,0.5,0.81,WEAK,23.2
2026-03-29 23:59:13,luminance,South Block,Opawa,LARGE_NZ,284,289,0.9827,86.3,86.4,0.1,2.49,2.5,0.2,0.87,NONE,34.4
2026-03-29 23:59:13,luminance,Block A,Other Vineyard,CLEAN_NZ,34,99,0.3434,170.5,172.9,2.4,3.32,2.5,33.0,0.62,"IRREG,MISS,WEAK",8.8
2026-03-29 23:59:13,luminance,B10,The View,CLEAN_CA,38,39,0.9744,89.5,90.1,0.6,2.75,2.7,1.7,0.81,WEAK,2.3
2026-03-29 23:59:13,luminance,B12,The View,CLEAN_CA,52,61,0.8525,89.7,89.8,0.1,2.73,2.74,0.2,0.79,WEAK,8.2
2026-03-29 23:59:13,luminance,Main Block,Babich Henderson,OTHER,79,,,134.6,,,3.09,,,0.78,WEAK,10.2
2026-03-30 00:02:04,exg_only,Block A,Brooklands,CLEAN_NZ,2,26,0.0769,86.5,90.0,3.5,5.25,2.5,110.2,0.88,"WEAK,FEW,HARM",8.6
2026-03-30 00:02:04,exg_only,Block B,Brooklands,CLEAN_NZ,3,82,0.0366,86.6,90.0,3.4,14.01,2.5,460.2,0.55,"IRREG,MISS,WEAK,FEW,HARM",21.0
2026-03-30 00:02:04,exg_only,Block C,Brooklands,CLEAN_NZ,5,110,0.0455,86.5,86.5,0.0,11.1,2.5,344.1,0.51,"IRREG,MISS,WEAK,HARM",28.2
2026-03-30 00:02:04,exg_only,Block D,Brooklands,CLEAN_NZ,2,111,0.018,86.6,86.0,0.5,10.86,2.5,334.2,0.88,"WEAK,FEW,HARM",16.6
2026-03-30 00:02:04,exg_only,Block D2,Brooklands,CLEAN_NZ,9,110,0.0818,86.7,85.9,0.8,8.14,2.5,225.7,0.6,"IRREG,MISS,WEAK,HARM",8.9
2026-03-30 00:02:04,exg_only,North Block,Opawa,LARGE_NZ,213,251,0.8486,86.4,86.4,0.0,2.81,2.81,0.2,0.79,"MISS,WEAK",23.3
2026-03-30 00:02:04,exg_only,South Block,Opawa,LARGE_NZ,273,289,0.9446,86.3,86.4,0.1,2.51,2.5,0.3,0.84,"MISS,WEAK",33.8
2026-03-30 00:02:04,exg_only,Block A,Other Vineyard,CLEAN_NZ,5,99,0.0505,170.5,172.9,2.4,4.28,2.5,71.4,0.57,"IRREG,MISS,WEAK",8.5
2026-03-30 00:02:04,exg_only,B10,The View,CLEAN_CA,38,39,0.9744,89.5,90.1,0.6,2.74,2.7,1.5,0.89,WEAK,2.5
2026-03-30 00:02:04,exg_only,B12,The View,CLEAN_CA,37,61,0.6066,89.7,89.8,0.1,3.48,2.74,27.2,0.67,"IRREG,MISS,WEAK",8.6
2026-03-30 00:02:04,exg_only,Main Block,Babich Henderson,OTHER,81,,,134.6,,,3.12,,,0.8,WEAK,9.6
