timestamp,ridge_mode,block,vineyard,category,rows_det,rows_gt,recall,angle,angle_gt,angle_err,spacing,spacing_gt,spacing_err,confidence,flags,time_s
2026-03-29 23:39:34,hessian,Block A,Brooklands,CLEAN_NZ,10,26,0.3846,86.5,90.0,3.5,4.99,2.5,99.6,0.75,WEAK,9.5
2026-03-29 23:39:34,hessian,Block B,Brooklands,CLEAN_NZ,12,82,0.1463,86.6,90.0,3.4,2.33,2.5,6.6,0.61,"IRREG,MISS,WEAK",24.7
2026-03-29 23:39:34,hessian,Block C,Brooklands,CLEAN_NZ,56,110,0.5091,86.5,86.5,0.0,2.67,2.5,6.7,0.66,"IRREG,MISS",35.6
2026-03-29 23:39:34,hessian,Block D,Brooklands,CLEAN_NZ,41,111,0.3694,86.6,86.0,0.5,3.23,2.5,29.2,0.65,"IRREG,MISS,WEAK",22.0
2026-03-29 23:39:34,hessian,Block D2,Brooklands,CLEAN_NZ,31,110,0.2818,86.7,85.9,0.8,6.24,2.5,149.6,0.63,"IRREG,MISS,WEAK",11.0
2026-03-29 23:39:34,hessian,North Block,Opawa,LARGE_NZ,186,251,0.741,86.4,86.4,0.0,3.02,2.81,7.3,0.69,"IRREG,MISS",30.6
2026-03-29 23:39:34,hessian,South Block,Opawa,LARGE_NZ,161,289,0.5571,86.3,86.4,0.1,2.65,2.5,6.0,0.72,"IRREG,MISS",44.9
2026-03-29 23:39:34,hessian,Block A,Other Vineyard,CLEAN_NZ,57,99,0.5758,170.5,172.9,2.4,2.91,2.5,16.4,0.69,"IRREG,MISS,WEAK",11.1
2026-03-29 23:39:34,hessian,B10,The View,CLEAN_CA,38,39,0.9744,89.5,90.1,0.6,2.75,2.7,1.9,0.87,NONE,3.1
2026-03-29 23:39:34,hessian,B12,The View,CLEAN_CA,27,61,0.4426,89.7,89.8,0.1,3.46,2.74,26.4,0.67,"IRREG,MISS",10.5
2026-03-29 23:39:34,hessian,Main Block,Babich Henderson,OTHER,57,,,134.6,,,3.73,,,0.69,"IRREG,MISS",13.9
2026-03-29 23:49:54,hessian,Block A,Brooklands,CLEAN_NZ,5,26,0.1923,86.5,90.0,3.5,5.9,2.5,136.0,0.75,"IRREG,WEAK,HARM",10.7
2026-03-29 23:49:54,hessian,Block B,Brooklands,CLEAN_NZ,12,82,0.1463,86.6,90.0,3.4,2.33,2.5,6.6,0.61,"IRREG,MISS,WEAK",25.0
2026-03-29 23:49:54,hessian,Block C,Brooklands,CLEAN_NZ,56,110,0.5091,86.5,86.5,0.0,2.67,2.5,6.7,0.66,"IRREG,MISS",37.3
2026-03-29 23:49:54,hessian,Block D,Brooklands,CLEAN_NZ,41,111,0.3694,86.6,86.0,0.5,3.23,2.5,29.2,0.65,"IRREG,MISS,WEAK",22.7
2026-03-29 23:49:54,hessian,Block D2,Brooklands,CLEAN_NZ,53,110,0.4818,86.7,85.9,0.8,3.2,2.5,28.0,0.69,"IRREG,MISS",11.9
2026-03-29 23:49:54,hessian,North Block,Opawa,LARGE_NZ,186,251,0.741,86.4,86.4,0.0,3.02,2.81,7.3,0.69,"IRREG,MISS",32.0
2026-03-29 23:49:54,hessian,South Block,Opawa,LARGE_NZ,161,289,0.5571,86.3,86.4,0.1,2.65,2.5,6.0,0.72,"IRREG,MISS",47.2
2026-03-29 23:49:54,hessian,Block A,Other Vineyard,CLEAN_NZ,57,99,0.5758,170.5,172.9,2.4,2.91,2.5,16.4,0.69,"IRREG,MISS,WEAK",11.0
2026-03-29 23:49:54,hessian,B10,The View,CLEAN_CA,38,39,0.9744,89.5,90.1,0.6,2.75,2.7,1.9,0.87,NONE,3.1
2026-03-29 23:49:54,hessian,B12,The View,CLEAN_CA,27,61,0.4426,89.7,89.8,0.1,3.46,2.74,26.4,0.67,"IRREG,MISS",11.0
2026-03-29 23:49:54,hessian,Main Block,Babich Henderson,OTHER,57,,,134.6,,,3.73,,,0.69,"IRREG,MISS",13.6
2026-03-30 00:43:24,luminance,Block A,Brooklands,CLEAN_NZ,7,26,0.2692,86.5,90.0,3.5,2.67,2.5,7.0,0.67,WEAK,9.1
2026-03-30 00:43:24,luminance,Block B,Brooklands,CLEAN_NZ,33,82,0.4024,86.6,90.0,3.4,1.65,2.5,33.9,0.64,"IRREG,MISS,WEAK",19.2
2026-03-30 00:43:24,luminance,Block C,Brooklands,CLEAN_NZ,85,110,0.7727,86.5,86.5,0.0,2.58,2.5,3.1,0.76,"IRREG,MISS,WEAK",30.6
2026-03-30 00:43:24,luminance,Block D,Brooklands,CLEAN_NZ,102,111,0.9189,86.6,86.0,0.5,2.5,2.5,0.2,0.76,WEAK,16.8
2026-03-30 00:43:24,luminance,Block D2,Brooklands,CLEAN_NZ,107,110,0.9727,86.7,85.9,0.8,2.52,2.5,0.6,0.83,"MISS,WEAK",8.9
2026-03-30 00:43:24,luminance,North Block,Opawa,LARGE_NZ,245,251,0.9761,86.4,86.4,0.0,2.79,2.81,0.6,0.81,WEAK,22.2
2026-03-30 00:43:24,luminance,South Block,Opawa,LARGE_NZ,280,289,0.9689,86.3,86.4,0.1,2.5,2.5,0.1,0.81,MISS,32.3
2026-03-30 00:43:24,luminance,Block A,Other Vineyard,CLEAN_NZ,47,99,0.4747,170.5,172.9,2.4,2.79,2.5,11.6,0.69,WEAK,7.9
2026-03-30 00:43:24,luminance,B10,The View,CLEAN_CA,38,39,0.9744,89.5,90.1,0.6,2.75,2.7,1.7,0.81,WEAK,2.2
2026-03-30 00:43:24,luminance,B12,The View,CLEAN_CA,52,61,0.8525,89.7,89.8,0.1,2.73,2.74,0.2,0.79,WEAK,7.5
2026-03-30 00:43:24,luminance,Main Block,Babich Henderson,OTHER,79,,,134.6,,,3.09,,,0.78,WEAK,9.9
2026-03-30 00:46:16,gabor,Block A,Brooklands,CLEAN_NZ,24,26,0.9231,86.5,90.0,3.5,2.48,2.5,0.8,0.82,NONE,8.0
2026-03-30 00:46:16,gabor,Block B,Brooklands,CLEAN_NZ,47,82,0.5732,86.6,90.0,3.4,1.36,2.5,45.6,0.69,NONE,18.3
2026-03-30 00:46:16,gabor,Block C,Brooklands,CLEAN_NZ,95,110,0.8636,86.5,86.5,0.0,2.47,2.5,1.2,0.85,NONE,27.0
2026-03-30 00:46:16,gabor,Block D,Brooklands,CLEAN_NZ,110,111,0.991,86.6,86.0,0.5,2.51,2.5,0.6,0.83,MISS,16.0
2026-03-30 00:46:16,gabor,Block D2,Brooklands,CLEAN_NZ,106,110,0.9636,86.7,85.9,0.8,2.49,2.5,0.3,0.88,NONE,8.8
2026-03-30 00:46:16,gabor,North Block,Opawa,LARGE_NZ,247,251,0.9841,86.4,86.4,0.0,2.8,2.81,0.5,0.9,NONE,21.4
2026-03-30 00:46:16,gabor,South Block,Opawa,LARGE_NZ,283,289,0.9792,86.3,86.4,0.1,2.51,2.5,0.6,0.85,MISS,30.8
2026-03-30 00:46:16,gabor,Block A,Other Vineyard,CLEAN_NZ,90,99,0.9091,170.5,172.9,2.4,2.77,2.5,10.8,0.81,NONE,7.8
2026-03-30 00:46:16,gabor,B10,The View,CLEAN_CA,36,39,0.9231,89.5,90.1,0.6,2.73,2.7,1.2,0.87,NONE,2.4
2026-03-30 00:46:16,gabor,B12,The View,CLEAN_CA,53,61,0.8689,89.7,89.8,0.1,2.73,2.74,0.5,0.84,NONE,8.1
2026-03-30 00:46:16,gabor,Main Block,Babich Henderson,OTHER,86,,,134.6,,,3.11,,,0.85,NONE,10.1
